Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method,Year,Month,Month_Name,Day,Weekday
4115,Tunic,2456,7/11/2023,2,Credit Card,2023,7,Jul,11,Tuesday
4019,Tank Top,2102,3/23/2023,4.1,Cash,2023,3,Mar,23,Thursday
4097,Leggings,3126,3/15/2023,3.2,Cash,2023,3,Mar,15,Wednesday
3997,Wallet,3003,11/27/2022,4.7,Cash,2022,11,Nov,27,Sunday
4080,Onesie,2914,12/11/2022,4.5,Credit Card,2022,12,Dec,11,Sunday
4055,Jacket,2571,7/8/2023,1.3,Cash,2023,7,Jul,8,Saturday
3973,Trousers,2419,11/10/2022,4.6,Cash,2022,11,Nov,10,Thursday
4044,Jeans,4771,5/19/2023,4.1,Cash,2023,5,May,19,Friday
4108,Slippers,2356,3/19/2023,4.8,Credit Card,2023,3,Mar,19,Sunday
4067,Bowtie,4418,11/21/2022,3.4,Cash,2022,11,Nov,21,Monday
4102,Trench Coat,2130,1/29/2023,4.8,Cash,2023,1,Jan,29,Sunday
4044,Handbag,2122,8/1/2023,1.2,Credit Card,2023,8,Aug,1,Tuesday
4017,Gloves,2895,7/17/2023,3.6,Credit Card,2023,7,Jul,17,Monday
4001,Trench Coat,2952,6/13/2023,2.2,Cash,2023,6,Jun,13,Tuesday
3976,Slippers,4069,6/18/2023,4.9,Credit Card,2023,6,Jun,18,Sunday
3986,Gloves,4298,4/5/2023,4.2,Cash,2023,4,Apr,5,Wednesday
4108,Jeans,2814,2/11/2023,4.4,Credit Card,2023,2,Feb,11,Saturday
4109,Flip-Flops,4932,12/20/2022,4,Credit Card,2022,12,Dec,20,Tuesday
4075,Tunic,4661,4/12/2023,1.2,Credit Card,2023,4,Apr,12,Wednesday
4040,Shorts,4872,8/25/2023,3.8,Cash,2023,8,Aug,25,Friday
4099,Blazer,4232,10/25/2022,2.7,Credit Card,2022,10,Oct,25,Tuesday
3981,Boots,3718,9/10/2023,2.8,Credit Card,2023,9,Sep,10,Sunday
4070,Poncho,2902,8/4/2023,4.9,Cash,2023,8,Aug,4,Friday
4002,Belt,3839,5/26/2023,1.8,Cash,2023,5,May,26,Friday
4035,Tunic,4413,12/23/2022,1.2,Credit Card,2022,12,Dec,23,Friday
4060,Boots,3139,1/26/2023,3.4,Credit Card,2023,1,Jan,26,Thursday
3974,Flip-Flops,2026,4/16/2023,4,Cash,2023,4,Apr,16,Sunday
4110,Hoodie,2653,10/11/2022,4.2,Credit Card,2022,10,Oct,11,Tuesday
3984,Sweater,4859,12/19/2022,5,Cash,2022,12,Dec,19,Monday
4054,Swimsuit,3393,2/28/2023,4.3,Cash,2023,2,Feb,28,Tuesday
4083,Cardigan,2636,4/9/2023,1.7,Cash,2023,4,Apr,9,Sunday
3972,Pants,3378,5/6/2023,3.6,Cash,2023,5,May,6,Saturday
3980,Pajamas,2418,5/26/2023,2.2,Credit Card,2023,5,May,26,Friday
4012,Scarf,2379,5/29/2023,2.9,Credit Card,2023,5,May,29,Monday
3992,Backpack,101,12/13/2022,1.3,Credit Card,2022,12,Dec,13,Tuesday
4105,Dress,164,10/20/2022,3.2,Credit Card,2022,10,Oct,20,Thursday
4119,Boots,21,4/3/2023,3.9,Cash,2023,4,Apr,3,Monday
3957,Camisole,147,11/4/2022,4.7,Cash,2022,11,Nov,4,Friday
3995,Bowtie,30,11/23/2022,4.1,Cash,2022,11,Nov,23,Wednesday
4072,Poncho,170,10/15/2022,3.6,Credit Card,2022,10,Oct,15,Saturday
4093,Trousers,102,5/25/2023,2.1,Cash,2023,5,May,25,Thursday
4031,Blouse,190,1/14/2023,3,Cash,2023,1,Jan,14,Saturday
4114,Leggings,84,6/15/2023,3.8,Cash,2023,6,Jun,15,Thursday
4104,Backpack,69,5/27/2023,2.1,Cash,2023,5,May,27,Saturday
4071,Tunic,107,12/3/2022,1.5,Cash,2022,12,Dec,3,Saturday
4007,Dress,172,4/5/2023,1.9,Cash,2023,4,Apr,5,Wednesday
4009,Flannel Shirt,51,4/16/2023,1.8,Cash,2023,4,Apr,16,Sunday
4038,Tie,63,2/13/2023,4.3,Cash,2023,2,Feb,13,Monday
4033,Backpack,189,8/31/2023,4.9,Cash,2023,8,Aug,31,Thursday
4102,Cardigan,175,6/5/2023,3.6,Credit Card,2023,6,Jun,5,Monday
4068,Jeans,146,8/26/2023,1.1,Cash,2023,8,Aug,26,Saturday
4045,Gloves,51,1/27/2023,2.5,Credit Card,2023,1,Jan,27,Friday
3979,Camisole,79,6/5/2023,1.3,Cash,2023,6,Jun,5,Monday
4106,Trousers,173,9/7/2023,3.4,Credit Card,2023,9,Sep,7,Thursday
3959,Trousers,66,11/2/2022,4.5,Cash,2022,11,Nov,2,Wednesday
4113,Boots,24,1/20/2023,1.2,Credit Card,2023,1,Jan,20,Friday
4087,Scarf,18,11/21/2022,1.7,Credit Card,2022,11,Nov,21,Monday
4060,Polo Shirt,112,6/8/2023,1.2,Cash,2023,6,Jun,8,Thursday
3989,Sweater,64,3/13/2023,3.2,Credit Card,2023,3,Mar,13,Monday
